L_data,iT_experimental,iT_simulated
0.36,0.39333333333333337,0.5212995734851185
0.3636,0.3967777777777778,0.5238800513310387
0.36719999999999997,0.40011111111111114,0.5264445023570281
0.37079999999999996,0.4068888888888889,0.5289930488280298
0.37439999999999996,0.40355555555555556,0.5315258115603323
0.37799999999999995,0.4068888888888889,0.5340429099582332
0.38159999999999994,0.4068888888888889,0.5365444620491202
0.38520000000000004,0.4136666666666667,0.5390305845170519
0.38880000000000003,0.42044444444444445,0.5415013927349217
0.3924,0.42044444444444445,0.5439570007952808
0.396,0.4306666666666667,0.5463975215398899
0.3996,0.44422222222222224,0.5488230665880627
0.4032,0.44422222222222224,0.5512337463638775
0.4068,0.4577777777777778,0.5536296701222939
0.4104,0.46111111111111114,0.5560109459742535
0.414,0.4678888888888889,0.5583776809107985
0.41759999999999997,0.4713333333333333,0.5607299808262683
0.42119999999999996,0.4746666666666667,0.563067950540614
0.42479999999999996,0.4781111111111111,0.5653916938208778
0.42840000000000006,0.4713333333333333,0.5677013134018792
0.43200000000000005,0.4746666666666667,0.5699969110061402
0.43560000000000004,0.4746666666666667,0.5722785873630958
0.43920000000000003,0.48144444444444445,0.5745464422276176
0.4428,0.4678888888888889,0.5768005743978821
0.4464,0.4781111111111111,0.5790410817326206
0.45,0.48144444444444445,0.5812680611677764
0.4536,0.4883333333333334,0.5834816087325929
0.4572,0.49166666666666664,0.5856818195651682
0.4608,0.49166666666666664,0.5878687879274898
0.4644,0.49511111111111117,0.5900426072199825
0.46799999999999997,0.49511111111111117,0.5922033699955846
0.47159999999999996,0.5052222222222222,0.5943511679733781
0.4752,0.5018888888888889,0.5964860920517885
0.4788,0.5086666666666667,0.5986082323213764
0.4824,0.5154444444444445,0.6007176780772402
0.486,0.5154444444444445,0.6028145178310388
0.48960000000000004,0.5255555555555556,0.6048988393226618
0.4932,0.529,0.6069707295315526
0.4968,0.5458888888888889,0.6090302746877052
0.5004,0.5458888888888889,0.611077560282345
0.504,0.5594444444444444,0.6131126710783108
0.5075999999999999,0.5594444444444444,0.615135691120142
0.5112,0.5696666666666668,0.6171467037438967
0.5147999999999999,0.5662222222222222,0.6191457915866962
0.5184000000000001,0.5628888888888889,0.6211330365960206
0.522,0.5662222222222222,0.623108520038755
0.5256000000000001,0.5594444444444444,0.6250723225100037
0.5292,0.5662222222222222,0.6270245239416763
0.5328,0.5561111111111111,0.6289652036108604
0.5364,0.5628888888888889,0.630894440147981
0.54,0.5662222222222222,0.6328123115447641
0.5436,0.5696666666666668,0.6347188951620042
0.5472,0.573,0.6366142677371489
0.5508,0.573,0.638498505391704
0.5544,0.5764444444444445,0.6403716836384669
0.5579999999999999,0.5798888888888889,0.6422338773885944
0.5616,0.5798888888888889,0.644085160958513
0.5652,0.5798888888888889,0.6459256080766728
0.5688,0.5866666666666667,0.647755291890157
0.5724,0.5866666666666667,0.6495742849711463
